timestamp,pitch,roll,yaw,x,y,z
47199,-0.5716,-0.0814,-2.3869,-0.0779,-0.0779,-0.8318
47219,-0.5704,-0.0814,-2.3861,-0.0779,-0.0779,-0.8399
47240,-0.5688,-0.0814,-2.3850,-0.0759,-0.0759,-0.8460
47260,-0.5667,-0.0813,-2.3842,-0.0718,-0.0718,-0.8428
47280,-0.5641,-0.0812,-2.3835,-0.0728,-0.0728,-0.8369
47300,-0.5615,-0.0807,-2.3826,-0.0708,-0.0708,-0.8450
47320,-0.5587,-0.0803,-2.3812,-0.0750,-0.0750,-0.8538
47341,-0.5553,-0.0797,-2.3796,-0.0740,-0.0740,-0.8548
47361,-0.5511,-0.0789,-2.3782,-0.0718,-0.0718,-0.8570
47381,-0.5460,-0.0780,-2.3772,-0.0708,-0.0708,-0.8518
47401,-0.5406,-0.0768,-2.3762,-0.0630,-0.0630,-0.8570
47421,-0.5350,-0.0755,-2.3752,-0.0588,-0.0588,-0.8570
47442,-0.5293,-0.0738,-2.3742,-0.0549,-0.0549,-0.8548
47462,-0.5240,-0.0718,-2.3731,-0.0530,-0.0530,-0.8509
47482,-0.5188,-0.0698,-2.3717,-0.0508,-0.0508,-0.8609
47502,-0.5135,-0.0679,-2.3703,-0.0469,-0.0469,-0.8609
47522,-0.5082,-0.0659,-2.3692,-0.0408,-0.0408,-0.8518
47543,-0.5035,-0.0640,-2.3679,-0.0408,-0.0408,-0.8518
47563,-0.4996,-0.0624,-2.3666,-0.0439,-0.0439,-0.8489
47583,-0.4969,-0.0613,-2.3655,-0.0498,-0.0498,-0.8518
47603,-0.4953,-0.0607,-2.3642,-0.0549,-0.0549,-0.8599
47623,-0.4943,-0.0607,-2.3634,-0.0579,-0.0579,-0.8738
47644,-0.4935,-0.0610,-2.3634,-0.0588,-0.0588,-0.8770
47664,-0.4926,-0.0616,-2.3642,-0.0608,-0.0608,-0.8789
47684,-0.4917,-0.0625,-2.3658,-0.0669,-0.0669,-0.8738
47704,-0.4914,-0.0635,-2.3678,-0.0679,-0.0679,-0.8679
47724,-0.4908,-0.0648,-2.3701,-0.0679,-0.0679,-0.8789
47745,-0.4896,-0.0664,-2.3724,-0.0669,-0.0669,-0.8758
47765,-0.4882,-0.0680,-2.3751,-0.0740,-0.0740,-0.8728
47785,-0.4870,-0.0696,-2.3780,-0.0808,-0.0808,-0.8699
47805,-0.4863,-0.0715,-2.3814,-0.0769,-0.0769,-0.8679
47825,-0.4861,-0.0735,-2.3852,-0.0759,-0.0759,-0.8709
47846,-0.4865,-0.0757,-2.3896,-0.0818,-0.0818,-0.8679
47866,-0.4877,-0.0780,-2.3946,-0.0908,-0.0908,-0.8628
47886,-0.4899,-0.0804,-2.4003,-0.0898,-0.0898,-0.8599
47906,-0.4924,-0.0833,-2.4062,-0.0889,-0.0889,-0.8719
47926,-0.4947,-0.0866,-2.4122,-0.0918,-0.0918,-0.8938
47947,-0.4963,-0.0899,-2.4182,-0.1028,-0.1028,-0.8909
47967,-0.4970,-0.0929,-2.4246,-0.1118,-0.1118,-0.8699
47987,-0.4978,-0.0958,-2.4310,-0.1199,-0.1199,-0.8618
48007,-0.4983,-0.0988,-2.4367,-0.1218,-0.1218,-0.8648
48027,-0.4987,-0.1021,-2.4419,-0.1260,-0.1260,-0.8670
48048,-0.4989,-0.1051,-2.4470,-0.1279,-0.1279,-0.8828
48068,-0.4984,-0.1081,-2.4525,-0.1270,-0.1270,-0.8848
48088,-0.4974,-0.1105,-2.4582,-0.1270,-0.1270,-0.8770
48108,-0.4960,-0.1126,-2.4642,-0.1289,-0.1289,-0.8648
48128,-0.4946,-0.1150,-2.4701,-0.1309,-0.1309,-0.8499
48149,-0.4938,-0.1177,-2.4753,-0.1338,-0.1338,-0.8538
48169,-0.4931,-0.1212,-2.4795,-0.1348,-0.1348,-0.8660
48189,-0.4927,-0.1248,-2.4829,-0.1448,-0.1448,-0.8719
48209,-0.4920,-0.1284,-2.4859,-0.1538,-0.1538,-0.8670
48229,-0.4913,-0.1320,-2.4884,-0.1589,-0.1589,-0.8679
48249,-0.4908,-0.1355,-2.4908,-0.1648,-0.1648,-0.8648
48270,-0.4905,-0.1389,-2.4929,-0.1670,-0.1670,-0.8758
48290,-0.4902,-0.1421,-2.4949,-0.1680,-0.1680,-0.8838
48310,-0.4897,-0.1448,-2.4971,-0.1680,-0.1680,-0.8770
48330,-0.4893,-0.1471,-2.4990,-0.1658,-0.1658,-0.8728
48350,-0.4889,-0.1491,-2.5008,-0.1619,-0.1619,-0.8758
48371,-0.4886,-0.1506,-2.5020,-0.1638,-0.1638,-0.8709
48391,-0.4886,-0.1516,-2.5026,-0.1680,-0.1680,-0.8638
48411,-0.4884,-0.1527,-2.5023,-0.1790,-0.1790,-0.8679
48431,-0.4885,-0.1539,-2.5015,-0.1799,-0.1799,-0.8738
48451,-0.4885,-0.1550,-2.5007,-0.1799,-0.1799,-0.8819
48472,-0.4886,-0.1559,-2.5003,-0.1738,-0.1738,-0.8758
48492,-0.4886,-0.1564,-2.5003,-0.1628,-0.1628,-0.8670
48512,-0.4886,-0.1566,-2.5003,-0.1599,-0.1599,-0.8648
48532,-0.4888,-0.1567,-2.5000,-0.1599,-0.1599,-0.8679
48552,-0.4892,-0.1568,-2.4992,-0.1619,-0.1619,-0.8670
48573,-0.4897,-0.1570,-2.4982,-0.1670,-0.1670,-0.8628
48593,-0.4904,-0.1572,-2.4973,-0.1628,-0.1628,-0.8670
48613,-0.4911,-0.1574,-2.4965,-0.1619,-0.1619,-0.8758
48633,-0.4919,-0.1573,-2.4959,-0.1458,-0.1458,-0.8618
48653,-0.4925,-0.1570,-2.4954,-0.1438,-0.1438,-0.8589
48674,-0.4930,-0.1568,-2.4941,-0.1458,-0.1458,-0.8648
48694,-0.4933,-0.1567,-2.4926,-0.1480,-0.1480,-0.8638
48714,-0.4936,-0.1564,-2.4907,-0.1489,-0.1489,-0.8660
48734,-0.4939,-0.1562,-2.4886,-0.1548,-0.1548,-0.8609
48754,-0.4942,-0.1561,-2.4864,-0.1570,-0.1570,-0.8638
48775,-0.4948,-0.1561,-2.4841,-0.1558,-0.1558,-0.8689
48795,-0.4960,-0.1561,-2.4820,-0.1519,-0.1519,-0.8719
48815,-0.4971,-0.1557,-2.4808,-0.1458,-0.1458,-0.8618
48835,-0.4980,-0.1551,-2.4798,-0.1379,-0.1379,-0.8560
48855,-0.4982,-0.1546,-2.4787,-0.1260,-0.1260,-0.8560
48876,-0.4978,-0.1542,-2.4764,-0.1169,-0.1169,-0.8709
48896,-0.4970,-0.1538,-2.4730,-0.1238,-0.1238,-0.8780
48916,-0.4965,-0.1521,-2.4683,-0.1338,-0.1338,-0.8660
48936,-0.4956,-0.1502,-2.4634,-0.1360,-0.1360,-0.8628
48956,-0.4949,-0.1478,-2.4578,-0.1238,-0.1238,-0.8909
48977,-0.4908,-0.1450,-2.4508,-0.1218,-0.1218,-0.9199
48997,-0.4839,-0.1397,-2.4408,-0.1169,-0.1169,-0.8999
49017,-0.4749,-0.1318,-2.4272,-0.1169,-0.1169,-0.8999
49037,-0.4640,-0.1222,-2.4115,-0.1008,-0.1008,-0.8789
49057,-0.4511,-0.1122,-2.3939,-0.0869,-0.0869,-0.8538
49078,-0.4361,-0.1027,-2.3743,-0.0718,-0.0718,-0.8418
49098,-0.4204,-0.0942,-2.3518,-0.0679,-0.0679,-0.8770
49118,-0.4048,-0.0866,-2.3273,-0.0698,-0.0698,-0.8609
49138,-0.3898,-0.0794,-2.3026,-0.0679,-0.0679,-0.8489
